subj,thresh,comment
subj001,0.05,
subj002,0.05,
subj003,0.1,
subj004,0.1,
subj005,0.05,
subj006,0.025,
subj007,0.05,
subj008,0.05,
subj009,0.05,
subj010,0.05,
subj011,0.05,
subj012,0.025,
subj013,0.05,
subj014,0.05,
subj015,0.05,
subj016,0.05,
subj017,0.05,
subj018,0.05,
subj019,0.075, -unsure
subj020,0.1, -unsure
subj021,0.05, -unsure 
subj022,0.15, -unsure
subj023,0.15, -reallyunsure
subj024,0.075,
subj025,0.05,
subj026,0.05,
subj027,0.05, -unsure
subj028,0.075,
subj029,0.05,
subj030,0.05,
subj031,0.025, -unsure
subj032,0.05,
subj033,0.05,
subj034,0.075,
subj035,0.05,
subj036,0.15,
subj037,0.15,
subj038,0.05,
subj039,0.05,
subj040,0.075,
